text,source,page
"Natural Language Processing Computers are great at working with standardized and structured data like database tables and financial records. They are able to process that data much faster than we humans can. But we humans don’t communicate in “structured data” nor do we speak binary! We communicate using words, a form of unstructured data. Unfortunately, computers suck at working with unstructured data because there are no standardized techniques to process it. When we program computers using something like C++, Java, or Python, we are essentially giving the computer a set of rules that it should operate by. With unstructured data, these rules are quite abstract and challenging to define concretely. There’s a lot of unstructured natural language on the internet; sometimes even Google doesn",Artificial-Intelligence-1 (1).pdf,1
"s are quite abstract and challenging to define concretely. There’s a lot of unstructured natural language on the internet; sometimes even Google doesn’t know what you’re searching for! Human vs Computer understanding of language Humans have been writing things down for thousands of years. Over that time, our brain has gained a tremendous amount of experience in understanding natural language. When we read something written on a piece of paper or in a blog post on the internet, we understand what that thing really means in the real-world. We feel the emotions that reading that thing elicits and we often visualize how that thing would look in real life. Natural Language Processing (NLP) is a sub-field of Artificial Intelligence that is focused on enabling computers to understand and process",Artificial-Intelligence-1 (1).pdf,1
"eal life. Natural Language Processing (NLP) is a sub-field of Artificial Intelligence that is focused on enabling computers to understand and process human languages, to get computers closer to a human-level understanding of language. Computers don’t yet have the same intuitive understanding of natural language that humans do. They can’t really understand what the language is really trying to say. In a nutshell, a computer can’t read between the lines. That being said, recent advances in Machine Learning (ML) have enabled computers to do quite a lot of useful things with natural language! Deep Learning has enabled us to",Artificial-Intelligence-1 (1).pdf,1
"write programs to perform things like language translation, semantic understanding, and text summarization. All of these things add real-world value, making it easy for you to understand and perform computations on large blocks of text without the manual effort. Why Natural Language Processing?  Classify text into categories  Index and search large texts  Automatic translation  Speech understanding - Understand phone conversation  Information extraction - Extract useful information from documents  Automatic summarization - Question answering  Text generations/dialogs What is Natural Language Processing (NLP)? Natural Language Processing (NLP) is the intersection of Computer Science, Linguistics and Machine Learning that is concerned with the communication between computers and human",Artificial-Intelligence-1 (1).pdf,2
"g (NLP) is the intersection of Computer Science, Linguistics and Machine Learning that is concerned with the communication between computers and humans in natural language. NLP is all about enabling computers to understand and generate human language. Applications of NLP techniques are Voice Assistants like Alexa and Siri but also things like Machine Translation and text-filtering. NLP is one of the fields that heavily benefited from the recent advances in Machine Learning, especially from Deep Learning techniques. Components of NLP There are three components of NLP: 1. Speech Recognition — The translation of spoken language into text. 2. Natural Language Understanding (NLU) Understanding involves the following tasks −  Mapping the given input in natural language into useful representatio",Artificial-Intelligence-1 (1).pdf,2
ural Language Understanding (NLU) Understanding involves the following tasks −  Mapping the given input in natural language into useful representations.  Analyzing different aspects of the language. 3. Natural Language Generation (NLG) It is the process of producing meaningful phrases and sentences in the form of natural language from some internal representation. It involves −  Text planning − It includes retrieving the relevant content from knowledge base.,Artificial-Intelligence-1 (1).pdf,2
" Sentence planning − It includes choosing required words, forming meaningful phrases, setting tone of the sentence.  Text Realization − It is mapping sentence plan into sentence structure. The NLU is harder than NLG. Why NLP is difficult? The process of reading and understanding language is far more complex than it seems at first glance. There are many things that go in to truly understanding what a piece of text means in the real-world. For example, what do you think the following piece of text means? “Steph Curry was on fire last night. He totally destroyed the other team” To a human it’s probably quite obvious what this sentence means. We know Steph Curry is a basketball player; or even if you don’t we know that he plays on some kind of team, probably a sports team. When we see “on fi",Artificial-Intelligence-1 (1).pdf,3
"e know Steph Curry is a basketball player; or even if you don’t we know that he plays on some kind of team, probably a sports team. When we see “on fire” and “destroyed” we know that it means Steph Curry played really well last night and beat the other team. Computers tend to take things a bit too literally. Viewing things literally like a computer, we would see “Steph Curry” and based on the capitalisation assume it’s a person, place, or otherwise important thing which is great! But then we see that Steph Curry “was on fire”…. A computer might tell you that someone literally lit Steph Curry on fire yesterday! … Yikes. After that, the computer might say that Mr. Curry has physically destroyed the other team…. they no longer exist according to this computer… great… Difficulties in NLU NL ha",Artificial-Intelligence-1 (1).pdf,3
"r might say that Mr. Curry has physically destroyed the other team…. they no longer exist according to this computer… great… Difficulties in NLU NL has an extremely rich form and structure. It is very ambiguous. There can be different levels of ambiguity −  Lexical ambiguity − It is at very primitive level such as word-level. For example, treating the word “board” as noun or verb?  Syntax Level ambiguity − A sentence can be parsed in different ways. For example, “He lifted the beetle with red cap.” − Did he use cap to lift the beetle or he lifted a beetle that had red cap?  Referential ambiguity − Referring to something using pronouns. For example, Rima went to Gauri. She said, “I am tired.” − Exactly who is tired? One input can mean different meanings. Many inputs can mean the same thi",Artificial-Intelligence-1 (1).pdf,3
"example, Rima went to Gauri. She said, “I am tired.” − Exactly who is tired? One input can mean different meanings. Many inputs can mean the same thing. NLP Terminology  Phonology − It deals with the sounds/letters/pronunciations.",Artificial-Intelligence-1 (1).pdf,3
" Morphology − It is a study of construction of words from primitive meaningful units. .(eg. Child-children, book-books)  Morpheme − It is primitive unit of meaning in a language  Syntax − It refers to arranging words to make a sentence. It also involves determining the structural role of words in the sentence and in phrases.  Semantics − It is concerned with the meaning of words and how to combine words into meaningful phrases and sentences.  Pragmatics − It deals with using and understanding sentences in different situations and how the interpretation of the sentence is affected.  Discourse − It deals with how the immediately preceding sentence can affect the interpretation of the next sentence.  World Knowledge − It includes the general knowledge about the world. Steps in NLP Ther",Artificial-Intelligence-1 (1).pdf,4
"sentence can affect the interpretation of the next sentence.  World Knowledge − It includes the general knowledge about the world. Steps in NLP There are general five steps –  Lexical Analysis − It involves identifying and analyzing the structure of words. Lexicon of a language means the collection of words and phrases in a language. Lexical analysis is dividing the whole chunk of txt into paragraphs, sentences, and words.  Syntactic Analysis (Parsing) − It involves analysis of words in the sentence for grammar and arranging words in a manner that shows the relationship among the words. The sentence such as “The school goes to boy” is rejected by English syntactic analyzer.  Semantic Analysis − It draws the exact meaning or the dictionary meaning from the text. The text is checked for",Artificial-Intelligence-1 (1).pdf,4
ected by English syntactic analyzer.  Semantic Analysis − It draws the exact meaning or the dictionary meaning from the text. The text is checked for meaningfulness. It is done by mapping syntactic structures and objects in the task domain. The semantic analyzer disregards sentence such as “hot ice-cream”.,Artificial-Intelligence-1 (1).pdf,4
" Discourse Integration − The meaning of any sentence depends upon the meaning of the sentence just before it. In addition, it also brings about the meaning of immediately succeeding sentence.  Pragmatic Analysis − During this, what was said is re-interpreted on what it actually meant. It involves deriving those aspects of language which require real world knowledge. Implementation Aspects of Syntactic Analysis There are a number of algorithms researchers have developed for syntactic analysis, but we consider only the following simple methods −  Context-Free Grammar  Top-Down Parser Let us see them in detail – Generative grammar A formally specified grammar that can generate all and only the acceptable sentences of a natural language Internal structure: “The big dog slept” can be bracke",Artificial-Intelligence-1 (1).pdf,5
"specified grammar that can generate all and only the acceptable sentences of a natural language Internal structure: “The big dog slept” can be bracketed ((The (big dog)) slept) Constituent a phrase whose components form a coherent unit The internal structures are typically given labels, e.g. the big dog is a noun phrase (NP) and slept is a verb phrase (VP) Context-Free Grammar It is the grammar that consists of rules with a single symbol on the left-hand side of the rewrite rules. 1. a set of non-terminal symbols (e.g., S, VP); 2. a set of terminal symbols (i.e., the words); 3. a set of rules (productions), where the LHS (mother) is a single non-terminal and the RHS is a sequence of one or more non-terminal or terminal symbols (daughters); S -> NP VP V -> fish",Artificial-Intelligence-1 (1).pdf,5
non-terminal and the RHS is a sequence of one or more non-terminal or terminal symbols (daughters); S -> NP VP V -> fish,Artificial-Intelligence-1 (1).pdf,5
"A simple CFG for a fragment of English For example, “they fish in rivers in December” Let us create grammar to parse a sentence − “The bird pecks the grains” Articles (DET)(Determiner) − a | an | the Nouns − bird | birds | grain | grains Noun Phrase (NP) − Article + Noun | Article + Adjective + Noun = DET N | DET ADJ N Verbs − pecks | pecking | pecked Verb Phrase (VP) − NP V | V NP rules S -> NP VP VP -> VP PP VP -> V VP -> V NP VP -> V VP NP -> NP PP lexicon V -> can V -> fish NP -> fish NP -> rivers NP -> pools NP -> December NP -> Scotland NP -> it",Artificial-Intelligence-1 (1).pdf,6
"Adjectives (ADJ) − beautiful | small | chirping Preposition Phase(PP) – in|on|at|to|from|by|with|near|against The parse tree breaks down the sentence into structured parts so that the computer can easily understand and process it. In order for the parsing algorithm to construct this parse tree, a set of rewrite rules, which describe what tree structures are legal, need to be constructed. These rules say that a certain symbol may be expanded in the tree by a sequence of other symbols. According to first order logic rule, if there are two strings Noun Phrase (NP) and Verb Phrase (VP), then the string combined by NP followed by VP is a sentence. The rewrite rules for the sentence are as follows − S NP VP → NP DET N | DET ADJ N → VP V NP → Lexocon − DET a | the → ADJ beautiful | perching → N b",Artificial-Intelligence-1 (1).pdf,7
The rewrite rules for the sentence are as follows − S NP VP → NP DET N | DET ADJ N → VP V NP → Lexocon − DET a | the → ADJ beautiful | perching → N bird | birds | grain | grains → V peck | pecks | pecking → The parse tree can be created as shown − Terminal symbols,Artificial-Intelligence-1 (1).pdf,7
"Now consider the above rewrite rules. Since V can be replaced by both, ""peck"" or ""pecks"", sentences such as ""The bird peck the grains"" can be wrongly permitted. i. e. the subject- verb agreement error is approved as correct. Merit − The simplest style of grammar, therefore widely used one. Demerits −  For example, “The dog entered my room. It scared me”. If the question asked to the computer is “who scared you?” the computer should answer dog not It.  To bring out high precision, multiple sets of grammar need to be prepared. It may require a completely different sets of rules for parsing singular and plural variations, passive sentences, etc., which can lead to creation of huge set of rules that are unmanageable. Top-Down Parser Here, the parser starts with the S symbol and attempts to r",Artificial-Intelligence-1 (1).pdf,8
"c., which can lead to creation of huge set of rules that are unmanageable. Top-Down Parser Here, the parser starts with the S symbol and attempts to rewrite it into a sequence of terminal symbols that matches the classes of the words in the input sentence until it consists entirely of terminal symbols. These are then checked with the input sentence to see if it matched. If not, the process is started over again with a different set of rules. This is repeated until a specific rule is found which describes the structure of the sentence. Merit − It is simple to implement. Demerits −  It is inefficient, as the search process has to be repeated if an error occurs.  Slow speed of working.",Artificial-Intelligence-1 (1).pdf,8
f an error occurs.  Slow speed of working.,Artificial-Intelligence-1 (1).pdf,8
"Neural Networks Chapter 8 Neural Networks Neural networks are parallel computing devices, which are basically an attempt to make a computer model of the brain. The main objective is to develop a system to perform various computational tasks faster than the traditional systems. These tasks include pattern recognition and classification, approximation, optimization, and data clustering. Difference between AI, ML, and DL (Artificial Intelligence vs Machine Learning vs Deep Learning) People often tend to think that Artificial Intelligence, Machine Learning, and Deep Learning are the same since they have common applications. For example, Siri is an application of AI, Machine learning and Deep learning. Machine Learning Machine Learning is a subset of Artificial Intelligence which provides compu",Artificial-Intelligence-1 (1).pdf,10
"n application of AI, Machine learning and Deep learning. Machine Learning Machine Learning is a subset of Artificial Intelligence which provides computers with the ability to learn without being explicitly programmed. In machine learning, we do not have to define explicitly all the steps or conditions like any other programming application. On the contrary, the machine gets trained on a training dataset, large enough to create a model, which helps machine to take decisions based on its learning. For example: We want to determine the species of a flower based on its petal and sepal length (leaves of a flower) using machine learning. Then, how will we do it? Mamatha M, SSCASC,Tumkur Page 1",Artificial-Intelligence-1 (1).pdf,10
"will we do it? Mamatha M, SSCASC,Tumkur Page 1",Artificial-Intelligence-1 (1).pdf,10
"Neural Networks Chapter 8 1. We will feed the flower data set which contains various characteristics of different flowers along with their respective species into our machine as you can see in the above image. Using this input data set, the machine will create and train a model which can be used to classify flowers into different categories. 2. Once our model has been trained, we will pass on a set of characteristics as input to the model. 3. Finally, our model will output the species of the flower present in the new input data set. This process of training a machine to create a model and use it for decision making is called Machine Learning. Limitations of Machine Learning Machine Learning is not capable of handling high dimensional data that is where input & output is quite large. Handli",Artificial-Intelligence-1 (1).pdf,11
"Limitations of Machine Learning Machine Learning is not capable of handling high dimensional data that is where input & output is quite large. Handling and processing such type of data becomes very complex and resource exhaustive. This is termed as Curse of Dimensionality. To understand this in simpler terms, let’s consider the following image: 1. Consider a line of 100 yards and you have dropped a coin somewhere on the line. Now, it’s quite convenient for you to find the coin by simply walking on the line. This very line is a single dimensional entity. 2. Next, consider you have a square of side 100 yards each as shown in the above image and yet again, you dropped a coin somewhere in between. Now, it is quite evident that you are going to take more time to find the coin within that squar",Artificial-Intelligence-1 (1).pdf,11
"d yet again, you dropped a coin somewhere in between. Now, it is quite evident that you are going to take more time to find the coin within that square as compared to the previous scenario. This square is a 2 dimensional entity. Mamatha M, SSCASC,Tumkur Page 2",Artificial-Intelligence-1 (1).pdf,11
